unique_id,Graduation_year,job_title_alumni,Industry,School,study_level_alumni
1492098,2019,senior_executives,,SBS,1
1492096,2014,senior_executives,FP,SI,1
1492097,2021,technical_professional,FP,FIT,1
1492095,2020,early_others,PN,FIT,1
1492094,2021,technical_professional,FP,SI,1
1492093,2021,admin_sales,FP,SHSS,1
1492092,2012,technical_professional,FP,FIT,1
1492091,2020,early_others,,SCES,1
1492090,2013,senior_executives,FP,FIT,0
1492089,2016,senior_executives,MT,SBS,1
1492088,2025,senior_executives,MT,,1
1492087,2025,early_others,,SBS,1
1492086,2024,early_others,MT,SI,1
1492085,2006,admin_sales,MT,SBS,1
1492082,2025,early_others,,SBS,1
1492080,2025,early_others,,,1
1492079,2025,early_others,,SBS,1
1492078,2025,senior_executives,MT,,1
1492077,2021,senior_executives,MT,FIT,1
1492075,2025,early_others,,SI,1
1492074,2024,early_others,FP,SCES,1
1492072,2025,admin_sales,PN,SBS,1
1492071,2022,senior_executives,FP,SBS,1
1492069,2000,senior_executives,FP,SBS,1
1492067,2025,early_others,,SBS,0
1492066,2026,technical_professional,MT,SBS,0
1492065,2025,early_others,,SI,1
1492064,2021,early_others,MT,,1
1492061,2025,early_others,,SBS,1
1492060,2025,technical_professional,PN,SBS,1
1492059,2009,early_others,,FIT,1
1492058,2025,admin_sales,PN,SBS,1
1492056,2026,early_others,,SBS,0
1492055,2021,technical_professional,FP,SBS,1
1492054,2025,early_others,,SBS,1
1492053,2024,early_others,,SBS,1
1492051,2025,senior_executives,MT,,0
1492049,2013,senior_executives,PN,FIT,1
1492048,2024,technical_professional,FP,SI,1
1492046,2026,early_others,,SBS,1
1492042,2018,senior_executives,FP,SCES,0
1492041,2025,senior_executives,FP,SBS,0
1492040,2013,technical_professional,FP,SBS,1
1492038,2024,early_others,,SBS,0
1492036,2024,early_others,,SBS,0
1492035,2024,senior_executives,FP,SBS,0
1492034,2023,early_others,,SBS,1
1492033,2024,early_others,,SBS,0
1492031,2023,senior_executives,FP,SBS,1
1492030,2024,senior_executives,PN,SBS,0
1492029,2024,early_others,,SBS,0
1492028,2024,senior_executives,FP,SBS,0
1492027,2024,early_others,,SBS,1
1492024,2024,senior_executives,PN,SBS,1
1492023,2023,early_others,FP,SI,1
1492021,2024,senior_executives,FP,SBS,0
1492020,2024,early_others,,STH,1
1492018,2021,technical_professional,PN,SCES,1
1492017,2024,senior_executives,FP,SBS,1
1492014,2021,technical_professional,FP,SCES,1
1492010,2020,early_others,MT,FIT,1
1492008,2015,early_others,,SHSS,0
1492007,2021,early_others,,FIT,1
1492006,2024,technical_professional,PN,SBS,0
1492005,1989,senior_executives,,SBS,1
1492003,2021,early_others,,SBS,1
1492002,2015,senior_executives,MT,SBS,1
1491993,2024,technical_professional,PN,SBS,1
1491992,2024,senior_executives,PN,SBS,1
1491990,2024,early_others,,SBS,1
1491988,2005,senior_executives,CH,SBS,1
1491987,2024,early_others,,SBS,1
1491986,2024,technical_professional,FP,,1
1491985,2024,technical_professional,FP,SBS,0
1491983,2024,early_others,,SBS,1
1491981,2024,technical_professional,FP,SBS,0
1491980,2024,early_others,,SBS,0
1491979,2024,early_others,,SBS,0
1491976,2023,early_others,,SBS,1
1491975,2017,senior_executives,FP,SLS,1
1491974,2022,early_others,,SLS,0
1491973,2024,early_others,,SBS,1
1491972,2022,early_others,,SBS,0
1491971,2023,early_others,,SBS,1
1491966,2014,technical_professional,FP,SBS,1
1491965,2024,senior_executives,FP,SBS,1
1491964,2024,early_others,FP,SBS,1
1491962,2024,early_others,,SBS,1
1491960,2016,early_others,,SI,1
1491958,2022,early_others,,SLS,0
1491957,2018,early_others,,SBS,0
1491956,2023,senior_executives,PN,,1
1491954,2024,early_others,,SI,1
1491951,2021,senior_executives,FP,SLS,1
1491950,2024,early_others,,SI,1
1491948,2018,senior_executives,FP,FIT,1
1491947,2022,early_others,,SHSS,1
1491944,2023,early_others,,SBS,1
1491942,2023,senior_executives,FP,,1
1491938,2024,senior_executives,PN,SBS,1
1491935,2024,early_others,,SBS,1
1491930,2024,senior_executives,MT,SBS,1
1491929,2024,early_others,,SBS,1
1491927,2024,early_others,,SBS,1
1491925,2024,early_others,,SBS,1
1491924,2024,early_others,,SBS,0
1491923,2024,early_others,FP,SBS,1
1491922,2018,senior_executives,FP,SLS,1
1491921,2015,early_others,,SBS,1
1491920,2024,early_others,,SBS,1
1491919,2023,technical_professional,FP,SBS,1
1491918,2020,admin_sales,CH,FIT,1
1491917,1995,senior_executives,PN,SHSS,1
1491916,2023,senior_executives,FP,SCES,1
1491915,2022,technical_professional,FP,SI,1
1491914,2023,senior_executives,PN,SBS,1
1491912,2012,senior_executives,FP,FIT,1
1491911,2017,early_others,,SBS,0
1491910,2020,early_others,,SBS,1
1491908,2018,senior_executives,FP,SBS,1
1491907,2023,early_others,,SLS,0
1491906,2020,senior_executives,MT,SI,1
1491905,2023,early_others,,SBS,1
1491903,2021,early_others,,SBS,0
1491902,2023,senior_executives,FP,FIT,1
1491901,2024,early_others,,SBS,1
1491900,2023,early_others,,SCES,1
1491899,2023,early_others,PN,,0
1491897,2016,senior_executives,CH,STH,1
1491896,2024,senior_executives,FP,SCES,1
1491895,2016,technical_professional,FP,FIT,1
1491894,2007,early_others,,SBS,1
1491893,1997,technical_professional,MT,FIT,1
1491892,2024,early_others,,,1
1491891,2022,senior_executives,FP,SI,1
1491889,2021,technical_professional,PN,SBS,1
1491888,2024,technical_professional,FP,SI,1
1491886,2022,early_others,MT,SBS,1
1491885,2024,senior_executives,FP,SBS,1
1491882,2022,senior_executives,FP,SBS,1
1491881,2024,early_others,,SCES,0
1491879,2024,early_others,,SBS,0
1491878,2022,early_others,MT,SBS,1
1491877,2022,technical_professional,FP,SI,1
1491876,2024,early_others,,SI,0
1491875,2024,early_others,,SI,1
1491871,2024,early_others,,SBS,1
1491870,2024,senior_executives,MT,SBS,1
1491864,2016,senior_executives,MT,FIT,1
1491859,2024,early_others,,SI,1
1491858,2024,early_others,,SI,1
1491854,2012,technical_professional,PN,FIT,1
1491851,2014,technical_professional,FP,SHSS,1
1491848,2024,senior_executives,FP,SBS,1
1491847,2002,senior_executives,FP,,1
1491846,2006,technical_professional,FP,SBS,1
1491843,2012,senior_executives,FP,SBS,1
1491842,2024,early_others,,SBS,1
1491841,2022,early_others,,SBS,1
1491840,2024,early_others,FP,SBS,1
1491839,2017,admin_sales,FP,SBS,1
1491838,2023,early_others,,SBS,1
1491837,2021,admin_sales,MT,SBS,1
1491835,2012,senior_executives,MT,SBS,1
1491834,2024,senior_executives,MT,SBS,1
1491833,2024,senior_executives,PN,SBS,1
1491832,2024,senior_executives,CH,SBS,1
1491831,2018,senior_executives,MT,SBS,1
1491830,2024,admin_sales,PN,SBS,1
1491829,2022,early_others,,SBS,1
1491828,2018,senior_executives,PN,SBS,1
1491827,2022,early_others,,,1
1491825,2021,early_others,,SBS,0
1491823,2023,senior_executives,FP,SBS,1
1491822,2023,early_others,PN,SBS,1
1491821,2024,early_others,,SBS,1
1491820,2024,senior_executives,MT,SBS,1
1491819,2024,technical_professional,PN,SBS,1
1491817,2022,senior_executives,,SBS,0
1491816,2023,senior_executives,PN,SBS,1
1491815,2024,early_others,,SBS,0
1491813,2024,early_others,,SBS,1
1491812,2023,early_others,,SBS,1
1491811,2024,technical_professional,FP,SBS,0
1491810,2023,early_others,,SBS,0
1491808,2023,technical_professional,PN,SBS,1
1491807,2024,senior_executives,PN,SBS,1
